"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0071326","cellular response to monosaccharide stimulus",0.0168928625181273,67,0.895905150100504,0.832830886761236,1,211601,20,174,1.6724732303697,0.0164064233734491,0.326087287370147
"GO:0002070","epithelial cell maturation",0.00319354519823451,11,0.778054638318962,0.833696454204762,1,612471,2,26,1.11927054647818,0.541795701721226,0.781937543784891
"GO:0032507","maintenance of protein location in cell",0.00497873084703338,18,0.816665735417419,0.833763408536881,1,136829,5,56,1.29915331287646,0.340402690616182,0.686489224423375
"GO:0043331","response to dsRNA",0.00293395080814978,10,0.769905904001087,0.833822095640867,1,61759,3,67,0.65151569123357,0.848047078330494,0.921313057204416
"GO:0042267","natural killer cell mediated cytotoxicity",0.00573161682543777,21,0.827623138092205,0.833938564682501,1,433632,7,89,1.14442269359005,0.413053012882126,0.718144743125186
"GO:0046886","positive regulation of hormone biosynthetic process",0.00214363872557954,7,0.737627201637164,0.834563744079775,1,192627,1,12,1.21254309201803,0.574584227507862,0.794482645326004
"GO:0099111","microtubule-based transport",0.0178662234487267,71,0.897668664877821,0.835120541668905,1,218629,19,223,1.23973015686149,0.195737788725963,0.609361330729612
"GO:0072087","renal vesicle development",0.00371565423176,13,0.790311929166056,0.83542100607185,1,66234,2,18,1.61672412269071,0.353715509282917,0.686489224423375
"GO:0098927","vesicle-mediated transport between endosomal compartments",0.00345890228608295,12,0.783670377159342,0.835566145151723,1,699372,2,45,0.646689649076284,0.824940535291962,0.911251112677658
"GO:0046879","hormone secretion",0.0402736232995159,166,0.931060414866848,0.835847476680867,1,227480,39,371,1.5295691834621,0.00538840222586535,0.254583100126755
"GO:0048261","negative regulation of receptor-mediated endocytosis",0.00241585443044756,8,0.74801396003808,0.836318677352716,1,82236,4,28,2.07864530060234,0.122514426689718,0.534993811038629
"GO:0006487","protein N-linked glycosylation",0.00823079364962488,31,0.850766651521304,0.838456799303655,1,90481,10,84,1.73220441716862,0.0617744533723575,0.449319960243317
"GO:2001234","negative regulation of apoptotic signaling pathway",0.0207591443235652,83,0.903148410960096,0.839174785875536,1,234364,14,238,0.855912770836258,0.764293583748214,0.885049381035314
