"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0000375","RNA splicing, via transesterification reactions",0.0205360442727212,156,1.24490325681691,0.00412960533492491,0.0155480947697054,293911,20,222,0.97251629509694,0.586778919157259,0.99014824570132
"GO:0060065","uterus development",0.00325043524444218,33,1.66379654522695,0.00413657485003686,0.0155620234872138,94073,5,18,2.99859190988223,0.0208345081101948,0.658672887152463
"GO:0007143","female meiotic nuclear division",0.0020209396686366,23,1.86510069555329,0.00415881498645365,0.0156333337444968,78009,1,25,0.431797235023041,0.912180655915164,0.99950884189564
"GO:0016479","negative regulation of transcription by RNA polymerase I",0.000691079211754844,11,2.60851088085558,0.00417553121966184,0.015683783010553,125899,1,9,1.19943676395289,0.58320742659803,0.99014824570132
"GO:0001919","regulation of receptor recycling",0.00178719148682939,21,1.92564401593169,0.0042162931781586,0.0158244000274896,603374,2,20,1.0794930875576,0.564883064382334,0.99014824570132
"GO:0042531","positive regulation of tyrosine phosphorylation of STAT protein",0.00167119040227493,20,1.96124504581957,0.00422782889340641,0.0158551912558874,197926,3,16,2.02404953917051,0.179911754844501,0.986405577540299
"GO:0034505","tooth mineralization",0.00402587789874249,39,1.5875660564142,0.00425810923295269,0.0159561746768676,183868,3,25,1.29539170506912,0.412204854117334,0.99014824570132
"GO:0006641","triglyceride metabolic process",0.0069626942252231,61,1.43575490503212,0.00426258324691583,0.0159603726766895,125618,7,79,0.956512862392813,0.606199619448809,0.99014824570132
"GO:0007215","glutamate receptor signaling pathway",0.0112949610992244,92,1.33484513971604,0.00435229799521285,0.0162834796849198,287398,6,47,1.37807628198843,0.266579125226775,0.99014824570132
"GO:0016358","dendrite development",0.0305409334685577,223,1.19660373151654,0.00437104584498089,0.0163407754723205,182993,22,169,1.40525727374363,0.0644194780419269,0.865914986040704
"GO:0060444","branching involved in mammary gland duct morphogenesis",0.00302069789293962,31,1.68183039831719,0.00457604876667129,0.0170937331872753,387837,2,16,1.349366359447,0.444127228942756,0.99014824570132
"GO:0033631","cell-cell adhesion mediated by integrin",0.00264745469043006,28,1.73323436752404,0.00459917343182606,0.0171666402839688,176320,1,14,0.771066491112574,0.743755903114708,0.99950884189564
"GO:1900034","regulation of cellular response to heat",0.000700741052464029,11,2.57254464692311,0.00461777664429511,0.0172225697885583,125899,1,10,1.0794930875576,0.621842193120126,0.99014824570132
"GO:0003330","regulation of extracellular matrix constituent secretion",0.000603027840917806,10,2.7176306587225,0.0046571939489445,0.0173475908635861,106785,2,6,3.59831029185868,0.100040882521296,0.901694242270543
"GO:0050727","regulation of inflammatory response",0.0316403409654309,230,1.19128172030874,0.00465858817475583,0.0173475908635861,241853,33,299,1.19141377556525,0.165847806882774,0.966058400189867
"GO:1900226","negative regulation of NLRP3 inflammasome complex assembly",0.00024867688310622,6,3.9540634289874,0.00470071825416367,0.0174907882498553,24189,3,9,3.59831029185868,0.0435425362552383,0.790255601678585
"GO:0010986","positive regulation of lipoprotein particle clearance",0.000330324255859701,7,3.47284476882697,0.00471673226557003,0.0175305368589081,167314,2,6,3.59831029185868,0.100040882521296,0.901694242270543
"GO:1903975","regulation of glial cell migration",0.00112293656043677,15,2.18909109331703,0.00471876816899796,0.0175305368589081,85506,1,13,0.830379298121234,0.717568319586871,0.99950884189564
"GO:0035235","ionotropic glutamate receptor signaling pathway",0.00672432723860963,59,1.43790756358161,0.00472264862049703,0.0175312673829527,203828,3,21,1.54213298222515,0.307550441837345,0.99014824570132
"GO:0050655","dermatan sulfate proteoglycan metabolic process",0.000910039652277135,13,2.34105077484592,0.00478841352751262,0.0177615432403995,240415,2,8,2.69873271889401,0.16523187469787,0.96365011236172
"GO:1904180","negative regulation of membrane depolarization",0.000605870459476414,10,2.70488009921741,0.00480786537217709,0.0178198063132327,124349,1,7,1.54213298222515,0.493704230021401,0.99014824570132
"GO:0033003","regulation of mast cell activation",0.00157860399200741,19,1.97245998236026,0.00490358928212499,0.0181604524464069,198910,2,15,1.43932411674347,0.411100294680473,0.99014824570132
"GO:0090399","replicative senescence",0.000706906364261771,11,2.5501080971002,0.00491884708726994,0.0182027941588784,256507,1,12,0.89957757296467,0.688706688011807,0.99950884189564
"GO:0051918","negative regulation of fibrinolysis",0.000513208390159809,9,2.87393246479863,0.00497943387195537,0.018412685156671,271235,1,8,1.349366359447,0.540628852210477,0.99014824570132
"GO:0034397","telomere localization",0.000513340343144231,9,2.8731937269012,0.00498748448357779,0.01842813560353,105871,3,10,3.23847926267281,0.0580231739536048,0.839307856672357
"GO:0048240","sperm capacitation",0.00135305400859071,17,2.05902483923924,0.00500261491147078,0.0184697008252052,68416,4,22,1.96271470465019,0.140689470969497,0.93904795560145
"GO:1902533","positive regulation of intracellular signal transduction",0.111841369400687,747,1.09457600270849,0.00505118625082942,0.0186345700524785,267660,89,853,1.12631752394639,0.124849186845743,0.934967825305045
"GO:0097210","response to gonadotropin-releasing hormone",0.000252694468683112,6,3.89119783368884,0.0050709437082709,0.0186929675504734,192161,1,5,2.15898617511521,0.384998754835808,0.99014824570132
"GO:0044788","host-mediated perturbation of viral process",0.00661433654494288,58,1.43704213369787,0.00510860573790056,0.0188172250051616,279297,8,52,1.66075859624247,0.104189220319825,0.928275849943515
"GO:0018146","keratan sulfate proteoglycan biosynthetic process",0.00102451269425089,14,2.23943513909862,0.00511873974308204,0.0188399709492091,349820,1,12,0.89957757296467,0.688706688011807,0.99950884189564
"GO:0002003","angiotensin maturation",0.00102579934843688,14,2.23662622856425,0.00517290167576257,0.019024605158388,215995,2,11,1.96271470465019,0.27128223259496,0.99014824570132
"GO:0030072","peptide hormone secretion",0.023189080169076,173,1.22261685254664,0.00517972733843757,0.0190349979950768,317655,18,176,1.10402702136573,0.36541974085141,0.99014824570132
